,brand_name,price,avg_rating,5G_or_not,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,ram_capacity,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width,cluster_label
brand_name,1.0,-0.24156066289981828,-0.040050457540143504,-0.13259910517381474,0.2242571345288265,-0.17288647219809433,0.16637215443920042,0.02500891325888133,0.030943070325240987,-0.05062132311898061,-0.2036511962188615,0.1571543598840473,-0.048624798515697266,0.10427137816839845,0.40607820812172984,0.11984988357627135,0.05476533235361034,0.2697710961061861,-0.06569242137241295,-0.05247587716525385,0.19042645143881118
price,-0.24156066289981828,1.0,0.2535767938849698,0.3050655068915023,-0.048121968755981626,0.4483242734837638,-0.15753193415891573,0.11673927286333703,0.14001493648226968,0.386001670018305,0.5571676328262639,0.11325258703096805,0.24411470230526902,0.12533004007475684,-0.2765560913820939,0.09209547872578563,0.1602617342201603,-0.44862822666505453,0.353578493484435,0.34059183949572447,-0.4183521032020386
avg_rating,-0.040050457540143504,0.2535767938849698,1.0,0.564905658462779,0.13177116305073544,0.5324639433386519,-0.01451940158062643,0.4780555197143099,0.5324165427609904,0.6459141089609645,0.40505972758747394,0.19361677014792605,0.5708240234646312,0.45434148806486024,0.048573516347526983,0.4703764868994012,0.5157459522941106,-0.3887665248630981,0.5773155726441008,0.37645018667716795,-0.23534047186264162
5G_or_not,-0.13259910517381474,0.3050655068915023,0.564905658462779,1.0,0.13916589394588813,0.5973245400298074,-0.013177747684320638,0.3558582206656445,0.46489345912294117,0.5339567335251614,0.4038373960499589,0.23059828816768244,0.6117943368297999,0.20651164289922702,-0.12405458192983916,0.3479177123359802,0.35793475010852543,-0.5077516074766543,0.504364531684919,0.3018283023796303,-0.4042386837343603
num_cores,0.2242571345288265,-0.048121968755981626,0.13177116305073544,0.13916589394588813,1.0,0.18905464946258538,0.23463773791587936,0.35924062074101987,0.26076629584217753,0.30367123459935946,0.0438841218355379,0.3824195398771895,0.23220050135760087,0.3421413055000567,0.36511177755173363,0.31147503387021835,0.21884352973484053,0.07259230484361527,0.2661085470538409,0.13784899943221085,0.09583268804375435
processor_speed,-0.17288647219809433,0.4483242734837638,0.5324639433386519,0.5973245400298074,0.18905464946258538,1.0,-0.04102636787933832,0.3415396503601929,0.5312275350426653,0.6150751246084216,0.4764742177847059,0.28616732184014204,0.5409687270162754,0.25084047158807665,-0.16103665292005082,0.27531500317587554,0.38567686460801953,-0.644888409460775,0.5442785385128251,0.3585012547094553,-0.5845847736472671
battery_capacity,0.16637215443920042,-0.15753193415891573,-0.01451940158062643,-0.013177747684320638,0.23463773791587936,-0.04102636787933832,1.0,0.12463364473276227,0.051416777287315835,0.08536614703092511,-0.0014311865576856037,0.3358608738410195,0.088026923664512,0.15399065387809172,0.1830657625822178,0.17026782057077008,-0.0049746928349575425,0.17298246736893588,0.03637510100964442,-0.024567260073421214,0.16392323580700588
fast_charging_available,0.02500891325888133,0.11673927286333703,0.4780555197143099,0.3558582206656445,0.35924062074101987,0.3415396503601929,0.12463364473276227,1.0,0.4144436600351899,0.43953830838764535,0.2798769418593788,0.34668663176922815,0.41527831398975024,0.4709523716329482,0.0956520091231354,0.42744042698490436,0.3307333376551357,-0.16662576634561482,0.5101123138185523,0.318719586179913,0.04751534373451955
fast_charging,0.030943070325240987,0.14001493648226968,0.5324165427609904,0.46489345912294117,0.26076629584217753,0.5312275350426653,0.051416777287315835,0.4144436600351899,1.0,0.5908224372908409,0.2971027127877787,0.32645128155027126,0.6057377000587435,0.3091919983576797,0.2096440382891666,0.5227570670804673,0.46025594376454787,-0.4627966538269811,0.41934835971813056,0.28562796196768653,-0.4299672784218209
ram_capacity,-0.05062132311898061,0.386001670018305,0.6459141089609645,0.5339567335251614,0.30367123459935946,0.6150751246084216,0.08536614703092511,0.43953830838764535,0.5908224372908409,1.0,0.5923321988401696,0.39661273198981944,0.5739773539645022,0.384908457211887,0.10700685201992817,0.4313766820421156,0.5170461041106312,-0.4826657860235817,0.5781045982431955,0.3802737325755299,-0.40190545216371887
